"ObservationDate","Province/State","Country/Region","Confirmed","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","Doses_admin","People_partially_vaccinated","People_fully_vaccinated","Prediction (Confirmed)"
"2021-02-10","Western Australia","Australia",910,-5.1875,1.0740740740740742,-26.096774193548388,-32.13333333333333,-4.977777777777778,5.6,0,0,0,1512.3150095427552
"2021-02-10","Yamagata","Japan",531,-4,2,-13,-23,-4,2,0,0,0,873.1454398180763
"2021-02-10","Yamaguchi","Japan",1338,-12,-1,-9,-20,-6,2,0,0,0,1251.5174920179682
"2021-02-10","Yamanashi","Japan",919,-7,-4,-5,-25,-6,3,0,0,0,1224.1428532197665
"2021-02-10","Yucatan","Mexico",31098,-33,-12,-41,-57,-26,12,724707,640115,84592,39405.840941487426
"2021-02-10","Zacatecas","Mexico",26127,-35,-10,-49,-37,-30,7,724707,640115,84592,26608.34579070996
"2021-02-10","Tokyo","Japan",105092,-30,-5,-19,-37,-25,12,0,0,0,60394.3766958431
"2021-02-10","Tokushima","Japan",418,-9,-1,-1,-15,-5,2,0,0,0,854.8447838149978
"2021-02-10","Tochigi","Japan",3919,-13,-1,-3,-29,-8,5,0,0,0,1622.3384973538996
"2021-02-10","Tlaxcala","Mexico",15940,-29,-7,-44,-33,-33,14,724707,640115,84592,18275.42979299724
"2021-02-10","Quindio","Colombia",30941,-37.75,-1.3333333333333333,-32.44444444444444,-39.5,-16.5,6.666666666666667,0,0,0,26059.085790332098
"2021-02-10","Quintana Roo","Mexico",19378,-31,-12,-43,-42,-29,10,724707,640115,84592,24615.985249966416
"2021-02-10","Rajasthan","India",318491,-16.38235294117647,25.794117647058822,-18.91176470588235,-1.588235294117647,-7.529411764705882,7.794117647058823,7017114,7017114,0,307786.4374905765
"2021-02-10","Risaralda","Colombia",45198,-21.25,5.666666666666667,-30.428571428571427,-46,-15.4,7.75,0,0,0,37230.49013009636
"2021-02-10","Saarland","Germany",27224,-58,-12,-27,-55,-30,14,3785820,2528079,1257741,26577.441385083886
"2021-02-10","Saga","Japan",1003,-4,-4,-2,-22,-6,2,0,0,0,1251.5174920179682
"2021-02-10","Saitama","Japan",27212,-12,0,0,-30,-16,7,0,0,0,18000.016228029304
"2021-02-10","San Luis Potosi","Mexico",53731,-36,-16,-42,-39,-31,12,724707,640115,84592,57829.77913678626
"2021-02-10","San Martin","Peru",28256,-16.5,-8,-26.75,-41.666666666666664,-19.25,11.333333333333334,20437,20437,0,34570.56844663985
"2021-02-10","Santander","Colombia",86796,-30.77777777777778,2.1666666666666665,-32.86666666666667,-19.125,-15.1875,10.142857142857142,0,0,0,71647.61688000886
"2021-02-10","Saskatchewan","Canada",25843,-25,-8.857142857142858,-38.333333333333336,-57,-17,11.6,1154277,930286,223991,23821.85802483172
"2021-02-10","Schleswig-Holstein","Germany",38778,-55,-8,22,-34,-32,14,3785820,2528079,1257741,34953.61643131082
"2021-02-10","Quebec","Canada",272726,-24.595744680851062,-12.573770491803279,-1.0476190476190477,-49,-22.042105263157893,12.193548387096774,1154277,930286,223991,244625.82687126094
"2021-02-10","Shiga","Japan",2270,-7,2,8,-26,-7,4,0,0,0,1649.562189461797
"2021-02-10","Shizuoka","Japan",4786,-9,-4,-16,-27,-6,3,0,0,0,2678.1880492864525
"2021-02-10","Sikkim","India",6111,-10.25,-2,-25,11,-9,8.333333333333334,7017114,7017114,0,8396.933502658467
"2021-02-10","Sinaloa","Mexico",32266,-26,-7,-29,-34,-29,10,724707,640115,84592,40986.304476349054
"2021-02-10","Sindh","Pakistan",252296,0,32,5,15,2,-3,27228,27228,0,194098.19619564113
"2021-02-10","Sonora","Mexico",65343,-29,-13,-37,-26,-32,10,724707,640115,84592,71126.11351920463
"2021-02-10","South Australia","Australia",606,-6.708333333333333,4.105263157894737,-15,-22,1.2,2.2857142857142856,0,0,0,1654.801926840061
"2021-02-10","Sucre","Colombia",19853,-24.5,-4,-32.25,-69,-11.833333333333334,7.666666666666667,0,0,0,21508.37959409408
"2021-02-10","Tabasco","Mexico",54841,-30,-11,-31,-14,-25,9,724707,640115,84592,63479.010813982924
"2021-02-10","Tacna","Peru",17939,-45,-37,-44.5,-59.5,-36.5,16,20437,20437,0,23022.260363863737
"2021-02-10","Tamaulipas","Mexico",49735,-26,-8,-39,-35,-26,9,724707,640115,84592,54886.15760304464
"2021-02-10","Tamil Nadu","India",843209,-14.969696969696969,37.53125,-5.212121212121212,0.24242424242424243,-11.545454545454545,6.636363636363637,7017114,7017114,0,794553.8699067816
"2021-02-10","Telangana","India",296134,-17.454545454545453,32.09090909090909,-18.727272727272727,-3.1818181818181817,-9.818181818181818,6.545454545454546,7017114,7017114,0,282064.1996452323
